Rider_Num;Name;Short_Name;Team_Num;Photo
1;CHRIS FROOME ;C. FROOME;0;001.png
2;EGAN ARLEY BERNAL GOMEZ ;E. BERNAL GOMEZ;0;002.png
3;JONATHAN CASTROVIEJO ;J. CASTROVIEJO;0;003.png
4;MICHAL KWIATKOWSKI ;M. KWIATKOWSKI;0;004.png
5;GIANNI MOSCON ;G. MOSCON;0;005.png
6;WOUT POELS ;W. POELS;0;006.png
7;LUKE ROWE ;L. ROWE;0;007.png
8;GERAINT THOMAS ;G. THOMAS;0;008.png
11;RIGOBERTO URAN ;R. URAN;1;011.png
12;SIMON CLARKE ;S. CLARKE;1;012.png
13;LAWSON CRADDOCK ;L. CRADDOCK;1;013.png
14;DANIEL FELIPE MARTINEZ POVEDA ;D. MARTINEZ POVEDA;1;014.png
15;TAYLOR PHINNEY ;T. PHINNEY;1;015.png
16;PIERRE ROLLAND ;P. ROLLAND;1;016.png
17;TOM SCULLY ;T. SCULLY;1;017.png
18;SEP VANMARCKE ;S. VANMARCKE;1;018.png
21;ROMAIN BARDET ;R. BARDET;2;021.png
22;SILVAN DILLIER ;S. DILLIER;2;022.png
23;AXEL DOMONT ;A. DOMONT;2;023.png
24;MATHIAS FRANK ;M. FRANK;2;024.png
25;TONY GALLOPIN ;T. GALLOPIN;2;025.png
26;PIERRE ROGER LATOUR ;P. LATOUR;2;026.png
27;OLIVER NAESEN ;O. NAESEN;2;027.png
28;ALEXIS VUILLERMOZ ;A. VUILLERMOZ;2;028.png
31;MICHAEL MATTHEWS ;M. MATTHEWS;3;031.png
32;TOM DUMOULIN ;T. DUMOULIN;3;032.png
33;NIKIAS ARNDT ;N. ARNDT;3;033.png
34;SIMON GESCHKE ;S. GESCHKE;3;034.png
35;CHAD HAGA ;C. HAGA;3;035.png
36;SOREN KRAGH ANDERSEN ;S. KRAGH ANDERSEN;3;036.png
37;LAURENS TEN DAM ;L. TEN DAM;3;037.png
38;EDWARD THEUNS ;E. THEUNS;3;038.png
41;WARREN BARGUIL ;W. BARGUIL;4;041.png
