Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km171_Group,km171_Position,km171_Elapsed_time,km171_Gap_to_previous_group,km171_Average_speed,km171_Current_speed,km171_Gradient,km171_GC_prov_position,km171_GC_prov_delay,km171_GC_riding_time,km170_Group,km170_Position,km170_Elapsed_time,km170_Gap_to_previous_group,km170_Average_speed,km170_Current_speed,km170_Gradient,km170_GC_prov_position,km170_GC_prov_delay,km170_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
C. FROOME,1,SKY,no,3,70h 36' 42'',0:02:31,03h 46' 50'',Main group,1,+0'00'',+0'00'',0 km/h,0 km/h,0%,3,0:02:31,70:36:42,Main group,12,+0'00'',+0'00'',21.68 km/h,27.36 km,7%,3,0:02:31,70:38:43,Main group,18,+0'00'',+0'00'',56.05 km/h,55.58 km,-,3,0:02:31,70:49:35,Main group,31,+0'19'',+0'19'',55.95 km/h,46.76 km,-,3,0:02:31,71:01:34,Main group,19,+1'37'',+1'37'',45.08 km/h,45.36 km,-,3,0:02:31,71:14:14,Main group,20,+1'04'',+1'04'',38.53 km/h,42.98 km,-,3,0:02:31,71:29:06,Main group,21,+1'37'',+1'37'',45.12 km/h,47.45 km,-1%,3,0:02:31,71:42:14,Main group,21,+1'21'',+1'21'',46.63 km/h,40.25 km,1%,3,0:02:31,71:57:21,Main group,16,+0'58'',+0'31'',53.23 km/h,57.78 km,-1%,3,0:02:31,72:12:37,Main group,46,+2'06'',+2'06'',45.56 km/h,48.82 km,-1%,3,0:02:31,72:26:08,Main group,17,+1'29'',+1'29'',35.57 km/h,72.36 km,-7%,3,0:02:31,72:41:12,Main group,9,+1'38'',+1'38'',38.41 km/h,40.93 km,1%,3,0:02:31,72:57:05,Main group,23,+1'26'',+1'26'',41.41 km/h,20.56 km,5%,3,0:02:31,73:10:46,Main group,16,+1'15'',+1'15'',42.93 km/h,43.85 km,-,3,0:02:31,73:25:38,Main group,33,+0'50'',+0'50'',38.99 km/h,43.16 km,1%,3,0:02:31,73:38:18,Main group,44,+0'40'',+0'40'',50.88 km/h,69.70 km,-5%,3,0:02:31,73:50:15,Main group,37,+0'25'',+0'25'',49.59 km/h,37.94 km,3%,3,0:02:31,74:00:27,Main group,28,+0'00'',+0'00'',44.09 km/h,49.07 km,1%,3,0:02:31,74:07:29,Main group,25,+0'00'',+0'00'',51.91 km/h,65.99 km,-7%,3,0:02:31,74:13:24,Main group,21,+0'00'',+0'00'',54.88 km/h,56.16 km,-1%,3,0:02:31,74:18:03,Main group,33,+0'00'',-,-,-,-,3,0:02:31,74:23:32
E. BERNAL GOMEZ,2,SKY,no,16,70h 58' 45'',0:24:34,03h 46' 50'',Main group,2,+0'00'',+0'00'',0 km/h,0 km/h,0%,16,0:24:34,70:58:45,Main group,105,+0'00'',+0'00'',21.06 km/h,25.24 km,6%,16,0:24:34,71:00:46,Main group,123,+0'00'',+0'00'',55.64 km/h,56.63 km,-1%,16,0:24:34,71:11:38,Main group,124,+0'19'',+0'19'',54.99 km/h,54.61 km,-,16,0:24:34,71:23:37,Main group,44,+1'37'',+1'37'',44.72 km/h,44.50 km,-,16,0:24:34,71:36:17,Main group,139,+1'04'',+1'04'',39.07 km/h,40.97 km,-,16,0:24:34,71:51:09,Main group,122,+1'37'',+1'37'',45.40 km/h,53.82 km,-,16,0:24:34,72:04:17,Main group,28,+1'21'',+1'21'',46.62 km/h,39.92 km,1%,16,0:24:34,72:19:24,Main group,17,+0'58'',+0'31'',52.73 km/h,59.11 km,-1%,15,0:24:34,72:34:40,Main group,10,+2'06'',+2'06'',40.32 km/h,45.04 km,-1%,15,0:24:34,72:48:11,Main group,16,+1'29'',+1'29'',35.36 km/h,75.35 km,-7%,15,0:24:34,73:03:15,Main group,16,+1'38'',+1'38'',37.73 km/h,43.24 km,1%,15,0:24:34,73:19:08,Main group,19,+1'26'',+1'26'',41.40 km/h,19.33 km,5%,15,0:24:34,73:32:49,Main group,26,+1'15'',+1'15'',42.66 km/h,43.81 km,-,15,0:24:34,73:47:41,Main group,24,+0'50'',+0'50'',39.00 km/h,46.19 km,1%,15,0:24:34,74:00:21,Main group,38,+0'40'',+0'40'',50.76 km/h,70.27 km,-5%,15,0:24:34,74:12:18,Main group,112,+0'25'',+0'25'',50.00 km/h,37.33 km,2%,15,0:24:34,74:22:30,Main group,114,+0'00'',+0'00'',42.96 km/h,50.83 km,2%,15,0:24:34,74:29:32,Main group,101,+0'00'',+0'00'',50.74 km/h,72.54 km,-6%,15,0:24:34,74:35:27,Main group,113,+0'00'',+0'00'',55.77 km/h,47.16 km,-1%,15,0:24:34,74:40:06,Main group,60,+0'00'',-,-,-,-,16,0:24:34,74:45:35
J. CASTROVIEJO,3,SKY,no,80,72h 47' 09'',2:12:58,03h 49' 24'',Main group,3,+0'00'',+0'00'',0 km/h,0 km/h,0%,80,2:12:58,72:47:09,Main group,25,+0'00'',+0'00'',21.56 km/h,25.56 km,7%,80,2:12:58,72:49:10,Main group,103,+0'00'',+0'00'',55.28 km/h,56.88 km,-1%,80,2:12:58,73:00:02,Main group,36,+0'19'',+0'19'',55.55 km/h,44.93 km,-,80,2:12:58,73:12:01,Main group,59,+1'37'',+1'37'',44.02 km/h,45.65 km,-,79,2:12:58,73:24:41,Main group,13,+1'04'',+1'04'',38.53 km/h,44.35 km,-,80,2:12:58,73:39:33,Main group,15,+1'37'',+1'37'',44.91 km/h,47.41 km,-1%,80,2:12:58,73:52:41,Main group,18,+1'21'',+1'21'',46.58 km/h,38.84 km,1%,80,2:12:58,74:07:48,Main group,14,+0'58'',+0'31'',52.63 km/h,57.96 km,-1%,79,2:12:58,74:23:04,Main group,15,+2'06'',+2'06'',40.56 km/h,45.00 km,-1%,79,2:12:58,74:36:35,Main group,10,+1'29'',+1'29'',35.37 km/h,75.24 km,-6%,79,2:12:58,74:51:39,Main group,124,+1'38'',+1'38'',37.26 km/h,35.86 km,1%,79,2:12:58,75:07:32,Main group,11,+1'26'',+1'26'',41.21 km/h,19.40 km,5%,79,2:12:58,75:21:13,Main group,15,+1'15'',+1'15'',42.61 km/h,45.54 km,-,79,2:12:58,75:36:05,Main group,19,+0'50'',+0'50'',38.88 km/h,47.52 km,1%,79,2:12:58,75:48:45,Main group,27,+0'40'',+0'40'',50.92 km/h,71.03 km,-4%,79,2:12:58,76:00:42,Main group,11,+0'25'',+0'25'',49.52 km/h,39.38 km,3%,79,2:12:58,76:10:54,Main group,26,+0'00'',+0'00'',43.71 km/h,48.85 km,1%,79,2:12:58,76:17:56,Main group,94,+0'00'',+0'00'',49.96 km/h,68.80 km,-6%,79,2:12:58,76:23:51,Main group,101,+0'00'',+0'00'',55.61 km/h,46.40 km,-1%,79,2:12:58,76:28:30,Stragglers,132,+2'34'',-,-,-,-,81,2:15:32,76:36:33
M. KWIATKOWSKI,4,SKY,no,61,72h 17' 28'',1:43:17,03h 46' 50'',Main group,4,+0'00'',+0'00'',0 km/h,0 km/h,0%,61,1:43:17,72:17:28,Main group,31,+0'00'',+0'00'',21.34 km/h,26.60 km,7%,61,1:43:17,72:19:29,Main group,20,+0'00'',+0'00'',55.45 km/h,56.70 km,-,61,1:43:17,72:30:21,Main group,30,+0'19'',+0'19'',55.00 km/h,50.29 km,-,61,1:43:17,72:42:20,Main group,21,+1'37'',+1'37'',44.20 km/h,43.31 km,-,61,1:43:17,72:55:00,Main group,12,+1'04'',+1'04'',38.93 km/h,43.70 km,-,61,1:43:17,73:09:52,Main group,24,+1'37'',+1'37'',44.82 km/h,47.99 km,-1%,61,1:43:17,73:23:00,Main group,20,+1'21'',+1'21'',46.38 km/h,41.83 km,1%,61,1:43:17,73:38:07,Main group,15,+0'58'',+0'31'',53.23 km/h,56.52 km,-1%,60,1:43:17,73:53:23,Main group,21,+2'06'',+2'06'',45.54 km/h,47.74 km,-1%,60,1:43:17,74:06:54,Main group,26,+1'29'',+1'29'',34.12 km/h,61.54 km,-7%,60,1:43:17,74:21:58,Main group,21,+1'38'',+1'38'',37.36 km/h,41.54 km,1%,60,1:43:17,74:37:51,Main group,12,+1'26'',+1'26'',41.49 km/h,20.41 km,5%,60,1:43:17,74:51:32,Main group,12,+1'15'',+1'15'',42.75 km/h,44.57 km,-,60,1:43:17,75:06:24,Main group,23,+0'50'',+0'50'',39.15 km/h,44.17 km,1%,60,1:43:17,75:19:04,Main group,30,+0'40'',+0'40'',50.89 km/h,69.91 km,-4%,60,1:43:17,75:31:01,Main group,22,+0'25'',+0'25'',49.62 km/h,39.20 km,3%,60,1:43:17,75:41:13,Main group,17,+0'00'',+0'00'',43.91 km/h,51.84 km,1%,60,1:43:17,75:48:15,Main group,18,+0'00'',+0'00'',51.49 km/h,66.49 km,-7%,60,1:43:17,75:54:10,Main group,9,+0'00'',+0'00'',54.89 km/h,55.04 km,-1%,60,1:43:17,75:58:49,Main group,30,+0'00'',-,-,-,-,60,1:43:17,76:04:18
W. POELS,6,SKY,no,53,72h 10' 11'',1:36:00,03h 50' 22'',Main group,5,+0'00'',+0'00'',0 km/h,0 km/h,0%,53,1:36:00,72:10:11,Main group,82,+0'00'',+0'00'',21.18 km/h,24.05 km,7%,53,1:36:00,72:12:12,Main group,55,+0'00'',+0'00'',55.75 km/h,55.94 km,-,53,1:36:00,72:23:04,Main group,29,+0'19'',+0'19'',55.90 km/h,48.56 km,-,53,1:36:00,72:35:03,Main group,24,+1'37'',+1'37'',45.05 km/h,45.83 km,-,53,1:36:00,72:47:43,Main group,8,+1'04'',+1'04'',38.84 km/h,44.68 km,-,53,1:36:00,73:02:35,Main group,19,+1'37'',+1'37'',44.58 km/h,48.06 km,-1%,53,1:36:00,73:15:43,Main group,26,+1'21'',+1'21'',46.41 km/h,41.47 km,1%,53,1:36:00,73:30:50,Main group,74,+0'58'',+0'31'',52.75 km/h,59.90 km,-1%,52,1:36:00,73:46:06,Main group,137,+2'06'',+2'06'',42.84 km/h,44.24 km,-,52,1:36:00,73:59:37,Main group,13,+1'29'',+1'29'',35.71 km/h,73.58 km,-7%,52,1:36:00,74:14:41,Main group,13,+1'38'',+1'38'',38.16 km/h,43.06 km,1%,52,1:36:00,74:30:34,Main group,14,+1'26'',+1'26'',41.49 km/h,19.94 km,5%,52,1:36:00,74:44:15,Main group,18,+1'15'',+1'15'',42.72 km/h,44.89 km,-,52,1:36:00,74:59:07,Main group,28,+0'50'',+0'50'',38.73 km/h,45.58 km,1%,52,1:36:00,75:11:47,Main group,39,+0'40'',+0'40'',50.68 km/h,69.52 km,-5%,52,1:36:00,75:23:44,Main group,139,+0'25'',+0'25'',49.64 km/h,35.14 km,2%,52,1:36:00,75:33:56,Main group,140,+0'00'',+0'00'',42.87 km/h,53.32 km,2%,51,1:36:00,75:40:58,Main group,129,+0'00'',+0'00'',50.39 km/h,70.27 km,-4%,52,1:36:00,75:46:53,Main group,124,+0'00'',+0'00'',56.70 km/h,50.29 km,-1%,52,1:36:00,75:51:32,Stragglers,138,+3'32'',-,-,-,-,54,1:39:32,76:00:33
L. ROWE,7,SKY,no,133,73h 42' 46'',3:08:35,03h 46' 50'',Main group,6,+0'00'',+0'00'',0 km/h,0 km/h,0%,133,3:08:35,73:42:46,Main group,9,+0'00'',+0'00'',22.05 km/h,25.52 km,7%,132,3:08:35,73:44:47,Main group,30,+0'00'',+0'00'',55.61 km/h,55.58 km,-,132,3:08:35,73:55:39,Main group,17,+0'19'',+0'19'',55.39 km/h,46.62 km,-,132,3:08:35,74:07:38,Main group,23,+1'37'',+1'37'',45.19 km/h,44.64 km,-,132,3:08:35,74:20:18,Main group,14,+1'04'',+1'04'',37.73 km/h,44.75 km,-,132,3:08:35,74:35:10,Main group,23,+1'37'',+1'37'',44.64 km/h,47.45 km,-1%,132,3:08:35,74:48:18,Main group,17,+1'21'',+1'21'',46.67 km/h,41.69 km,1%,132,3:08:35,75:03:25,Main group,11,+0'58'',+0'31'',53.72 km/h,57.60 km,-1%,131,3:08:35,75:18:41,Main group,25,+2'06'',+2'06'',40.24 km/h,45.04 km,-1%,131,3:08:35,75:32:12,Main group,12,+1'29'',+1'29'',35.50 km/h,77.22 km,-6%,131,3:08:35,75:47:16,Main group,14,+1'38'',+1'38'',37.03 km/h,40.57 km,1%,131,3:08:35,76:03:09,Main group,24,+1'26'',+1'26'',41.30 km/h,20.38 km,5%,131,3:08:35,76:16:50,Main group,14,+1'15'',+1'15'',43.03 km/h,44.82 km,-,131,3:08:35,76:31:42,Main group,27,+0'50'',+0'50'',38.56 km/h,41.62 km,1%,131,3:08:35,76:44:22,Main group,32,+0'40'',+0'40'',50.60 km/h,71.32 km,-4%,131,3:08:35,76:56:19,Main group,19,+0'25'',+0'25'',49.43 km/h,38.66 km,3%,131,3:08:35,77:06:31,Main group,11,+0'00'',+0'00'',43.82 km/h,50.76 km,1%,131,3:08:35,77:13:33,Main group,9,+0'00'',+0'00'',51.38 km/h,58.79 km,-7%,131,3:08:35,77:19:28,Main group,6,+0'00'',+0'00'',54.69 km/h,56.34 km,-1%,131,3:08:35,77:24:07,Main group,87,+0'00'',-,-,-,-,133,3:08:35,77:29:36
G. THOMAS,8,SKY,GC,1,70h 34' 11'',0:00:00,03h 46' 50'',Main group,7,+0'00'',+0'00'',0 km/h,0 km/h,0%,1,0:00:00,70:34:11,Main group,35,+0'00'',+0'00'',22.09 km/h,29.05 km,7%,1,0:00:00,70:36:12,Main group,102,+0'00'',+0'00'',56.02 km/h,57.38 km,-1%,1,0:00:00,70:47:04,Main group,53,+0'19'',+0'19'',56.39 km/h,47.56 km,-,1,0:00:00,70:59:03,Main group,20,+1'37'',+1'37'',44.86 km/h,44.96 km,-,1,0:00:00,71:11:43,Main group,23,+1'04'',+1'04'',38.34 km/h,44.68 km,-,1,0:00:00,71:26:35,Main group,16,+1'37'',+1'37'',45.12 km/h,48.64 km,-1%,1,0:00:00,71:39:43,Main group,19,+1'21'',+1'21'',46.71 km/h,40.57 km,1%,1,0:00:00,71:54:50,Main group,18,+0'58'',+0'31'',52.88 km/h,57.71 km,-1%,1,0:00:00,72:10:06,Main group,17,+2'06'',+2'06'',40.52 km/h,45.29 km,-1%,1,0:00:00,72:23:37,Main group,14,+1'29'',+1'29'',35.15 km/h,73.94 km,-7%,1,0:00:00,72:38:41,Main group,19,+1'38'',+1'38'',37.52 km/h,42.48 km,1%,1,0:00:00,72:54:34,Main group,18,+1'26'',+1'26'',41.40 km/h,20.20 km,5%,1,0:00:00,73:08:15,Main group,17,+1'15'',+1'15'',42.78 km/h,45.22 km,-,1,0:00:00,73:23:07,Main group,25,+0'50'',+0'50'',38.79 km/h,45.00 km,1%,1,0:00:00,73:35:47,Main group,40,+0'40'',+0'40'',50.75 km/h,70.31 km,-5%,1,0:00:00,73:47:44,Main group,24,+0'25'',+0'25'',49.32 km/h,37.22 km,3%,1,0:00:00,73:57:56,Main group,24,+0'00'',+0'00'',43.63 km/h,49.46 km,1%,1,0:00:00,74:04:58,Main group,15,+0'00'',+0'00'',51.07 km/h,65.99 km,-7%,1,0:00:00,74:10:53,Main group,4,+0'00'',+0'00'',54.80 km/h,53.10 km,-1%,1,0:00:00,74:15:32,Main group,31,+0'00'',-,-,-,-,1,0:00:00,74:21:01
S. CLARKE,12,EFD,no,102,73h 10' 24'',2:36:13,03h 49' 16'',Main group,8,+0'00'',+0'00'',0 km/h,0 km/h,0%,102,2:36:13,73:10:24,Main group,100,+0'00'',+0'00'',21.38 km/h,26.24 km,6%,101,2:36:13,73:12:25,Main group,21,+0'00'',+0'00'',55.30 km/h,56.30 km,-,101,2:36:13,73:23:17,Main group,58,+0'19'',+0'19'',55.34 km/h,45.65 km,-,101,2:36:13,73:35:16,Main group,105,+1'37'',+1'37'',43.13 km/h,41.72 km,-,101,2:36:13,73:47:56,Main group,91,+1'04'',+1'04'',39.09 km/h,43.56 km,-,101,2:36:13,74:02:48,Main group,62,+1'37'',+1'37'',45.36 km/h,49.86 km,-1%,101,2:36:13,74:15:56,Main group,84,+1'21'',+1'21'',46.26 km/h,39.78 km,-,101,2:36:13,74:31:03,Main group,55,+0'58'',+0'31'',53.11 km/h,61.45 km,-1%,100,2:36:13,74:46:19,Main group,96,+2'06'',+2'06'',40.28 km/h,44.71 km,-1%,100,2:36:13,74:59:50,Main group,124,+1'29'',+1'29'',33.58 km/h,55.84 km,-6%,100,2:36:13,75:14:54,Main group,136,+1'38'',+1'38'',37.69 km/h,35.06 km,1%,100,2:36:13,75:30:47,Main group,109,+1'26'',+1'26'',43.30 km/h,22.61 km,5%,100,2:36:13,75:44:28,Main group,107,+1'15'',+1'15'',42.81 km/h,44.64 km,-,100,2:36:13,75:59:20,Main group,86,+0'50'',+0'50'',38.15 km/h,50.18 km,-,100,2:36:13,76:12:00,Main group,70,+0'40'',+0'40'',50.58 km/h,66.96 km,-5%,100,2:36:13,76:23:57,Main group,68,+0'25'',+0'25'',49.99 km/h,38.27 km,2%,100,2:36:13,76:34:09,Main group,18,+0'00'',+0'00'',44.31 km/h,50.44 km,1%,100,2:36:13,76:41:11,Main group,62,+0'00'',+0'00'',50.91 km/h,68.80 km,-7%,100,2:36:13,76:47:06,Main group,97,+0'00'',+0'00'',54.73 km/h,48.53 km,-1%,100,2:36:13,76:51:45,Stragglers,123,+2'26'',-,-,-,-,104,2:38:39,76:59:40
L. CRADDOCK,13,EFD,no,146,74h 15' 51'',3:41:40,03h 51' 28'',Main group,9,+0'00'',+0'00'',0 km/h,0 km/h,0%,146,3:41:40,74:15:51,Main group,128,+0'00'',+0'00'',20.92 km/h,23.98 km,6%,145,3:41:40,74:17:52,Main group,14,+0'00'',+0'00'',55.76 km/h,55.44 km,-,145,3:41:40,74:28:44,Main group,96,+0'19'',+0'19'',54.36 km/h,47.59 km,-,145,3:41:40,74:40:43,Main group,64,+1'37'',+1'37'',44.01 km/h,46.37 km,-,145,3:41:40,74:53:23,Main group,95,+1'04'',+1'04'',39.20 km/h,43.20 km,-,145,3:41:40,75:08:15,Main group,67,+1'37'',+1'37'',45.20 km/h,48.35 km,-1%,145,3:41:40,75:21:23,Main group,95,+1'21'',+1'21'',45.62 km/h,38.81 km,-,145,3:41:40,75:36:30,Main group,116,+0'58'',+0'31'',53.19 km/h,61.60 km,-1%,144,3:41:40,75:51:46,Main group,71,+2'06'',+2'06'',40.64 km/h,43.81 km,-1%,144,3:41:40,76:05:17,Main group,117,+1'29'',+1'29'',33.26 km/h,56.52 km,-7%,144,3:41:40,76:20:21,Main group,126,+1'38'',+1'38'',36.98 km/h,37.12 km,1%,144,3:41:40,76:36:14,Main group,80,+1'26'',+1'26'',41.75 km/h,20.56 km,5%,144,3:41:40,76:49:55,Main group,112,+1'15'',+1'15'',42.56 km/h,44.64 km,-,144,3:41:40,77:04:47,Main group,82,+0'50'',+0'50'',38.29 km/h,48.31 km,-,144,3:41:40,77:17:27,Main group,68,+0'40'',+0'40'',50.38 km/h,69.23 km,-5%,144,3:41:40,77:29:24,Main group,50,+0'25'',+0'25'',49.78 km/h,38.41 km,2%,144,3:41:40,77:39:36,Main group,141,+0'00'',+0'00'',42.30 km/h,53.06 km,2%,144,3:41:40,77:46:38,Main group,139,+0'00'',+0'00'',50.21 km/h,70.96 km,-4%,144,3:41:40,77:52:33,Stragglers,142,+1'16'',+0'29'',44.88 km/h,32.65 km,1%,144,3:42:56,77:58:28,Back of the race,146,+4'38'',-,-,-,-,146,3:46:18,78:07:19
D. MARTINEZ POVEDA,14,EFD,no,32,71h 37' 02'',1:02:51,03h 48' 43'',Main group,10,+0'00'',+0'00'',0 km/h,0 km/h,0%,32,1:02:51,71:37:02,Main group,143,+0'00'',+0'00'',21.92 km/h,27.32 km,6%,32,1:02:51,71:39:03,Main group,141,+0'00'',+0'00'',55.50 km/h,57.67 km,-1%,32,1:02:51,71:49:55,Main group,106,+0'19'',+0'19'',55.79 km/h,52.42 km,-,32,1:02:51,72:01:54,Back of the race,139,+2'13'',+0'36'',39.78 km/h,50.22 km,-,32,1:03:27,72:15:10,Main group,78,+1'04'',+1'04'',39.01 km/h,40.39 km,-,32,1:02:51,72:29:26,Main group,119,+1'37'',+1'37'',45.01 km/h,49.82 km,-,32,1:02:51,72:42:34,Main group,125,+1'21'',+1'21'',46.40 km/h,40.97 km,-,32,1:02:51,72:57:41,Main group,119,+0'58'',+0'31'',53.67 km/h,61.63 km,-1%,31,1:02:51,73:12:57,Main group,114,+2'06'',+2'06'',40.46 km/h,43.70 km,-,31,1:02:51,73:26:28,Main group,126,+1'29'',+1'29'',32.53 km/h,55.37 km,-6%,31,1:02:51,73:41:32,Main group,127,+1'38'',+1'38'',36.75 km/h,36.61 km,1%,31,1:02:51,73:57:25,Main group,137,+1'26'',+1'26'',42.66 km/h,23.87 km,5%,31,1:02:51,74:11:06,Main group,127,+1'15'',+1'15'',42.61 km/h,46.19 km,-,31,1:02:51,74:25:58,Main group,139,+0'50'',+0'50'',37.33 km/h,48.42 km,-,31,1:02:51,74:38:38,Main group,130,+0'40'',+0'40'',50.17 km/h,67.82 km,-5%,31,1:02:51,74:50:35,Main group,137,+0'25'',+0'25'',50.19 km/h,35.03 km,2%,31,1:02:51,75:00:47,Main group,111,+0'00'',+0'00'',43.34 km/h,49.32 km,2%,31,1:02:51,75:07:49,Main group,119,+0'00'',+0'00'',49.92 km/h,70.70 km,-4%,31,1:02:51,75:13:44,Main group,110,+0'00'',+0'00'',56.55 km/h,48.64 km,-1%,31,1:02:51,75:18:23,Stragglers,104,+1'53'',-,-,-,-,31,1:04:44,75:25:45
