site,dt,price
A,29/05/2016 00:00,529.5389047
A,29/05/2016 00:15,527.5588802
A,29/05/2016 00:30,524.778649
A,29/05/2016 00:45,523.2958823
A,29/05/2016 01:00,523.4245659
A,29/05/2016 01:15,524.4627037
A,29/05/2016 01:30,527.9041225
A,29/05/2016 01:45,529.4042726
A,29/05/2016 02:00,531.7883293
A,29/05/2016 02:15,528.9821571
A,29/05/2016 02:30,531.8800509
A,29/05/2016 02:45,530.8204334
A,29/05/2016 03:00,527.6374539
A,29/05/2016 03:15,528.0533021
A,29/05/2016 03:30,527.118013
A,29/05/2016 03:45,531.6117305
A,29/05/2016 04:00,534.3326951
A,29/05/2016 04:15,533.9387235
A,29/05/2016 04:30,531.4396142
A,29/05/2016 04:45,528.8642298
A,29/05/2016 05:00,531.722203
A,29/05/2016 05:15,529.9992645
A,29/05/2016 05:30,529.5556164
A,29/05/2016 05:45,530.8012955
A,29/05/2016 06:00,534.1582467
A,29/05/2016 06:15,531.5518665
A,29/05/2016 06:30,532.1871656
A,29/05/2016 06:45,532.3282584
A,29/05/2016 07:00,529.7790915
A,29/05/2016 07:15,526.8690928
A,29/05/2016 07:30,524.6285684
A,29/05/2016 07:45,522.983496
A,29/05/2016 08:00,523.4607828
A,29/05/2016 08:15,522.4288209
A,29/05/2016 08:30,522.228843
A,29/05/2016 08:45,524.6277197
A,29/05/2016 09:00,522.151199
A,29/05/2016 09:15,522.6803508
A,29/05/2016 09:30,525.2135589
A,29/05/2016 09:45,526.3242766
A,29/05/2016 10:00,521.6435571
A,29/05/2016 10:15,520.9708598
A,29/05/2016 10:30,520.2197563
A,29/05/2016 10:45,520.8286925
A,29/05/2016 11:00,519.1821379
A,29/05/2016 11:15,520.3896485
A,29/05/2016 11:30,522.819018
A,29/05/2016 11:45,521.1327638
A,29/05/2016 12:00,523.1243534
A,29/05/2016 12:15,526.3183889
A,29/05/2016 12:30,528.2727566
A,29/05/2016 12:45,528.6504385
A,29/05/2016 13:00,527.1448216
A,29/05/2016 13:15,526.975057
A,29/05/2016 13:30,524.9293366
A,29/05/2016 13:45,528.130332
A,29/05/2016 14:00,526.87321
A,29/05/2016 14:15,528.9517776
A,29/05/2016 14:30,528.7978342
A,29/05/2016 14:45,530.6942574
A,29/05/2016 15:00,532.4666049
A,29/05/2016 15:15,533.1065342
A,29/05/2016 15:30,533.4338
A,29/05/2016 15:45,534.5889181
A,29/05/2016 16:00,532.0885295
A,29/05/2016 16:15,530.738012
A,29/05/2016 16:30,528.4786901
A,29/05/2016 16:45,531.371595
A,29/05/2016 17:00,531.5801234
A,29/05/2016 17:15,533.4482674
A,29/05/2016 17:30,535.1864591
A,29/05/2016 17:45,532.0032708
A,29/05/2016 18:00,533.5419303
A,29/05/2016 18:15,536.1544703
A,29/05/2016 18:30,538.1812494
A,29/05/2016 18:45,542.6845332
A,29/05/2016 19:00,544.2645532
A,29/05/2016 19:15,541.8886483
A,29/05/2016 19:30,542.8574868
A,29/05/2016 19:45,547.2709411
A,29/05/2016 20:00,546.8532287
A,29/05/2016 20:15,547.5187238
A,29/05/2016 20:30,550.0686207
A,29/05/2016 20:45,549.5900027
A,29/05/2016 21:00,548.9099088
A,29/05/2016 21:15,549.201577
A,29/05/2016 21:30,550.9274143
A,29/05/2016 21:45,551.5686587
A,29/05/2016 22:00,549.6782338
A,29/05/2016 22:15,549.9946916
A,29/05/2016 22:30,547.961721
A,29/05/2016 22:45,548.68068
A,29/05/2016 23:00,551.0298729
A,29/05/2016 23:15,555.8607307
A,29/05/2016 23:30,556.7467247
A,29/05/2016 23:45,557.1482762
A,30/05/2016 00:00,555.1188481
A,30/05/2016 00:15,553.2834776
A,30/05/2016 00:30,551.7969474
A,30/05/2016 00:45,553.4107394
A,30/05/2016 01:00,552.9719455
A,30/05/2016 01:15,555.1907765
A,30/05/2016 01:30,552.9392159
A,30/05/2016 01:45,556.1415515
A,30/05/2016 02:00,551.3208113
A,30/05/2016 02:15,555.6778853
A,30/05/2016 02:30,558.9293734
A,30/05/2016 02:45,559.9938367
A,30/05/2016 03:00,559.0903515
A,30/05/2016 03:15,562.6599091
A,30/05/2016 03:30,564.284598
A,30/05/2016 03:45,560.8398195
A,30/05/2016 04:00,563.6686439
A,30/05/2016 04:15,561.4345947
A,30/05/2016 04:30,559.0118588
A,30/05/2016 04:45,561.4771546
